abstract,title,year,journal,authors,base,exclusion_stage,exclusion reson,#ID
"We examine the distribution of economic productivity across subnational regions as a factor explaining the level and allocation of central government expenditure. As regional productivity becomes more dispersed, the preferences influencing national decision making should diverge, thus impeding agreement to expand the central state. However, if regional productivity becomes more right-skewed, an increasing number of less productive regions may be able to press for greater central outlays. Dispersion and skew of interregional inequality also shape the allocation of centralized spending. With growing economic dispersion across regions, decision makers are more likely to fund policy categories that aid citizens in all regions over those that are locally targeted. By contrast, with the distribution of regional productivity skewing farther to the right, central expenditure is likely to become more locally targeted. We find strong evidence for these propositions in error correction models using new measures of interregional inequality and government policy priorities for 24 OECD countries. © 2019 by the Southern Political Science Association. All rights reserved.",interregional inequality and the dynamics of government spending,2019,Journal of Politics,"Lee, D.W., Rogers, M.Z.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",12
"Pork-barrel spending is the appropriation of federal money for use in projects that only benefit narrowly defined groups. In the past, researchers have attempted to show that pork-barrel spending increases the likelihood of an incumbent being reelected but empirical evidence has been hard to find. I hypothesize that pork-barrel spending does not directly increase the likelihood of reelection; instead, pork-barrel spending can be used to increase fundraising and the additional campaign funds are then used to increase the likelihood of being reelected. I find that a $10 million increase in pork-barrel spending will lead to a 0.10% increase in the share of the vote in an election. While this may not seem like a major advantage to some, several elections over the past few years have been decided by < 1%. Therefore, legislators in tightly contested races may be able to use pork-barrel spending to gain some degree of separation from their challenger. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",using tax dollars for re-election: the impact of pork-barrel spending on electoral success,2019,Constitutional Political Economy,"Klingensmith, J.Z.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",13
"We study distributive politics inside cities by analysing how local governments allocate investment projects to voters across neighbourhoods. In particular, we ask whether politicians use investment to target their own supporters. To this aim, we use detailed geo-located investment data from Plan E, a large fiscal stimulus program carried out in Spain in 2009–2011. Our main empirical strategy is based on a close-elections regression-discontinuity design. In contrast to previous studies – which use aggregate data at the district or municipal level – we exploit spatial variation in both investment and voter support within municipalities and find no evidence of supporter targeting. Complementary results indicate that voters may be responding to investment by increasing turnout. © 2019 Elsevier B.V.",distributive politics inside the city? the political economy of spain's plan e,2019,Regional Science and Urban Economics,"Carozzi, F., Repetto, L.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",14
"Over the past four decades, government debt as a fraction of GDP has been on an upward trajectory in advanced economies, approaching levels not reached since World War II. While normative macroeconomic theories can explain the increase in the level of debt in certain periods as a response to macroeconomic shocks, they cannot explain the broad-based long-run trend in debt accumulation. In contrast, political economy theories can explain the long-run trend as resulting from an aging population, rising political polarization, and rising electoral uncertainty across advanced economies. These theories emphasize the time-inconsistency in government policymaking, and thus the need for fiscal rules that restrict policymakers. Fiscal rules trade off commitment to not overspend and flexibility to react to shocks. This tradeoff guides design features of optimal rules, such as information dependence, enforcement, cross-country coordination, escape clauses, and instrument vs. target criteria.",rising government debt: causes and solutions for a decades-old trend,2019,Journal of Economic Perspectives,"Yared, P.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",15
"Legislators are political actors whose main goal is to get re-elected. They use their legislative repertoire to help them cater to the interests of their principals. It is argued in this article that we need to move beyond treating electoral systems as monolithic entities, as if all legislators operating under the same set of macro-rules shared the same set of incentives. Rather, we need to account for within-system variation – namely, candidate selection rules and individual electoral vulnerability. Using a most different systems design, Germany, Ireland and Portugal are leveraged with both cross-system and within-system variation. An original dataset of 345,000 parliamentary questions is used. Findings show that candidate selection rules blur canonical electoral system boundaries. Electoral vulnerability has a similar effect in closed-list and mixed systems, but not in preferential voting settings. © 2018 European Consortium for Political Research",the impact of candidate selection rules and electoral vulnerability on legislative behaviour in comparative perspective,2019,European Journal of Political Research,"Fernandes, J.M., Geese, L., Schwemmer, C.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",16
"This paper investigates pork-barrel spending, the inefficient effect of legislature size on public spending, in at-large electoral systems. Using a rich panel-data set on German municipalities whose councils are elected at large, we employ a regression discontinuity design to estimate the causal effect of legislature size of public spending. The empirical results indicate that the pork-barrel effect in at-large electoral systems is of very small economic magnitude. This finding is in line with the theoretical prediction of a zero effect, but is in sharp contrast to previously published estimates in the literature that commonly support a positive pork-barrel spending effect. © 2019 Mohr Siebeck.",legend of the pork barrel? the causal effect of legislature size on public spending,2019,FinanzArchiv,"Holzmann, C., Zaddach, O.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",17
"This paper deals with an important issue in the field of fiscal federalism, the effect of fiscal imbalances on the behaviour of sub-central governments. We provide a simple theoretical model that considers the effect of both forms of fiscal imbalances on the fiscal effort of local governments. © 2019 Walter de Gruyter GmbH, Berlin/Boston 2019.",fiscal imbalances and fiscal effort of local governments,2019,B.E. Journal of Economic Analysis and Policy,"Di Liddo, G., Longobardi, E., Porcelli, F.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",18
"When two policies are available to achieve the same goal why is the relatively inefficient one often observed? We address this question in the context of policies used to redistribute income towards special interest groups (SIGs) where in the first stage the constraints on policy instruments are chosen and in the second the government bargains with SIGs over the level of the available policies. Restrictions on the use of efficient policies and the use of inefficient ones reduce the surplus over which SIGs and governments can bargain but it also improves the government's bargaining position thus increasing its share of the surplus. The positive effect for the government dominates under plausible conditions. Inefficient policies are the equilibrium outcome under alternative policy selection mechanisms, e.g., election of policymakers and bargaining between SIGs and the government. The model also explains the coexistence of transfer policies. Moreover, we show why a weak government is more likely to choose the inefficient transfer and discuss how this result may be tested. © 2019 ALLAN DRAZEN.",a bargaining theory of inefficient redistribution policies,2019,World Scientific Studies in International Economics,"Drazen, A., Limão, N.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",19
"Public goods networks create conflict between districts needing the network and districts that pay the costs. Thus, it is difficult for pork barrel politicians to achieve logrolling with other districts. I show that logrolling is possible for such politicians if they set their agenda properly. To show this, I model the centralized decision-making process as a multistage vote among representatives from different districts. I assume the districts are better off if and only if the public good “connects” them to the network. Public goods can be provided universally by setting the agenda properly, even when costs exceed the benefits. © 2019 Wiley Periodicals, Inc.",distributive politics of public goods networks through multistage voting,2019,Journal of Public Economic Theory,"Kurosaka, K.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",20
"This paper investigates whether the large scale municipal amalgamations in the German state of Baden-Wuerttemberg in the early 1970s led to considerable common pool exploitation. Through amalgamation the resources of several municipalities are pooled together disclosing the former independent municipalities a larger source of funds. Additionally, the pooling also decreases the cost of local public goods, as those have to be borne by the whole of the amalgamated municipality. By exploiting the huge variance in the amalgamation process in terms of number of participating municipalities, but also in municipality size or amalgamation strategy, we identify considerable common pool effects. Amalgamated municipalities show considerably stronger acceleration in debt accumulation compared to non-amalgamating municipalities. This common pool exploitation is stronger if more municipalities participate and when municipalities amalgamate by annexation.",common pool effects and local public debt in amalgamated municipalities,2019,Public Choice,"Fritz, B., Feld, L.P.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",21
"I estimate the impact of Nebraska’s 1937 switch from a bicameral to a unicameral legislature on state-level government expenditures. Using the synthetic control method I create a counterfactual Nebraska from a weighted average of other potential control states and compare spending in this “synthetic Nebraska” to spending in the real Nebraska. Relative to the synthetic control, Nebraska experiences a sharp decrease in expenditures per capita immediately following the switch to a unicameral legislature; however, the difference appears to diminish over time. Placebo tests show that if the change in Nebraska’s legislative structure were randomly assigned among the sample of states, and legislative structure had no real impact on spending, the likelihood of obtaining a treatment-effect estimate as large as Nebraska’s would be 0.0213. While the initial drop in expenditures per capita lends support to the theory that bicameralism, by requiring more veto players, is associated with higher levels of government spending, the fact that the difference between Nebraska and synthetic Nebraska diminishes suggests that legislators are able to circumvent this constraint. © The Author(s) 2019.","finally, nebraska: a synthetic control analysis of legislative structure",2019,State Politics and Policy Quarterly,"Hankins, W.B.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",22
"Executive control of government is generally not a long-term job. In such cases, relatively short executive tenure should be expected to play an important role in determining the degree to which policymakers internalize the future costs associated with their current fiscal behavior. The effects of policymaker's expected planning horizons on macroeconomic outcomes, however, have been difficult to model outside of a fixed term limit context due to the unobserved likelihood of remaining in office, along with potential endogeneity problems where re-election campaigns can be enhanced with generous, deficit-financed expenditures in election years. From a globally representative sample of 79 countries over a 32-year period (1980-2012), this paper provides empirical evidence suggesting that incumbent governments who know that will not be in office in the following period with a probability of one, are found to generate significantly higher deficits in a linear discounting model, and are found to produce the least responsible fiscal outcomes where the likelihood of re-election is around fifty percent in quadratic discounting models. © The European Political Science Association, 2019.",fiscal deficits and executive planning horizons,2019,Political Science Research and Methods,"Seiferling, M.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",23
"Municipal amalgamations can create incentives for opportunistic behaviour. Several fairly recent studies have examined this on amalgamations in Denmark and Sweden using the so-called law of 1 over n. However, they have yielded inconclusive results and I argue that one plausible explanation is a theoretical deficiency in the law, as it does not account for how future political representation can mitigate the incentive to free-ride. I examine this using large-scale amalgamations in Denmark in 2007. This case is quite unique as the amalgamations were implemented in such a manner that they constitute a quasi-experiment, and because an extra fiscal year was added to the election period where the composition of the new councils was known with certainty, while the municipalities retained some decision-making power. The study’s findings are consistent with the argument that the incentive to free-ride depends on the decision makers’ future political stake in the new, amalgamated municipality. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.",exploiting the common pool or looking to the future? a study of free-riding leading up to the 2007 municipal amalgamations in,2019,Local Government Studies,"Hansen, S.W.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",24
"In the context of recent economic and financial crisis in Europe, questions about the power of the core executive to control fiscal outcomes are more important than ever. Why are some governments more effective in controlling spending while others fall prey to excessive overspending by individual cabinet ministers? We approach this question by lifting the veil of collective cabinet responsibility and focusing on intra-cabinet decision-making around budgetary allocation. Using the contributions of individual cabinet members during budget debates in Ireland, we estimate their positions on a latent dimension that represents their relative levels of support or opposition to the cabinet leadership. We find some evidence that ministers who are close to the finance minister receive a larger budget share, but under worsening macro-economic conditions closeness to the prime minister is a better predictor for budget allocations. Our results highlight potential fragility of the fiscal authority delegation mechanism in adverse economic environment. © The European Political Science Association 2019.",intra-cabinet politics and fiscal governance in times of austerity,2019,Political Science Research and Methods,"Herzog, A., Jankin Mikhaylov, S.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",25
"This article analyses how the presence of a dominant group of voters within the electorate affects voter turnout. Theoretically, we argue that its absolute size affects turnout via increased free-riding incentives and reduced social pressure to vote within a larger dominant group. Its relative size compared to other groups within the electorate influences turnout through instrumental and expressive responses–in both the dominant and dominated groups–to the degree of electoral competition between groups. Empirical evidence from a large cross section of German municipalities is in line with these theoretical predictions. The observed effects should be taken into account when redesigning electoral jurisdictions through, for instance, municipal mergers or gerrymandering. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.","david and goliath in the poll booth: group size, political power and voter turnout",2019,Local Government Studies,"Bönisch, P., Geys, B., Michelsen, C.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",26
"In this study, we look at committee assignment by focusing on the extent to which MPs' desires to become members of certain committees are fulfilled. Our theoretical argument is based on the assumption that legislators pursue individual goals, which interact with party leaders' ones. To test our hypotheses, we use original survey data on elected candidates to the Italian Parliament that were collected immediately after the 2013 general election. Our main findings highlight that individual preferences driven by distributive interests are more likely to be accommodated in the case of legislators who are close to their party in ideological terms. On the contrary, ideological proximity to the party does not seem to affect committee assignment when MPs' preferences are driven by expertise-based motivations. © The Author(s) 2018. Published by Oxford University Press on behalf of the Hansard Society; all rights reserved.","personal ambitions, expertise and parties' control: understanding committee assignment in the italian chamber of deputies",2019,Parliamentary Affairs,"Giannetti, D., Pedrazzani, A., Pinto, L.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",27
"After the economic downturn of 2008, youth unemployment rose rapidly in the EU. Simultaneously, many countries were also facing increasing public deficits. In this context, the EU developed a set of policies to tackle youth unemployment and public debt. While policies to fight unemployment were underpinned by the concept of social investment, austerity was seen as the best way to reduce public debt. These different approaches to the crisis led to a growing tension between the two policy areas. This problem was particularly visible in the countries most affected by the sovereign debt crisis where youth unemployment remained very high for a long period of time. Not only were countries with high public debt and low growth unable to invest sufficiently in active labour market policies (ALMPs), but also, at the same time, austerity policies depressed the economic activity. This study uses the fsQCA methodology. Our results point to the existence of one necessary condition for high youth unemployment—low expenditure on ALMPs. The analysis of sufficient conditions points to the existence of one configuration: the countries most affected by the sovereign debt crisis and characterized by having a demand-led growth model, combined a low GDP growth with a low expenditure on ALMPs. Together, this led to high levels of youth unemployment. © 2019, Springer Nature Limited.",understanding massive youth unemployment during the eu sovereign debt crisis: a configurational study,2019,Comparative European Politics,"Marques, P., Hörisch, F.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",28
"This article shows that the troika institutions – the European Commission, the European Central Bank and the International Monetary Fund – formed a technocratic consensus about the desirability of establishing national fiscal councils in the European Union (EU). Considerable disagreement existed, however, with regard to their design features. Each institution promoted a distinct mode of indirect governance by ranking national fiscal councils depending on their adopted governance model (agent, trustee or orchestrator). This persuasion, through entrepreneurial benchmarking, constitutes an important mechanism by which member states were nudged to adopt a distinct fiscal council model. Preference heterogeneity among the troika members ultimately prevented the spread of a one-size-fits-all fiscal council in the EU. © 2019 University Association for Contemporary European Studies and John Wiley & Sons Ltd","‘the troika is dead, long live the domestic troikas?’: the diffusion of national fiscal councils in the european union",2019,Journal of Common Market Studies,"Tesche, T.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",29
"This article distinguishes theoretically two conceptual models of a fiscal council - the trustee and the orchestrator model. The article reviews the arguments that prominent advocates of fiscal councils have put forth and finds that those who argue that the deficit bias is caused by the common pool problem prefer the trustee model, while others identifying asymmetric information as the root cause of the deficit bias prefer the orchestrator model. While the latter model relies on throughput legitimacy, the former relies on output legitimacy. The article concludes with a discussion about the contribution of fiscal councils towards strengthening EMU and weakening populism. © 2019 University Association for Contemporary European Studies.",on the legitimacy of fiscal councils in the european union: trustees or orchestrators of fiscal discipline?,2019,Journal of Contemporary European Research,"Tesche, T.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",30
"Previous studies find that legislators who adopt a partisan voting record are penalized come election time. To date, these studies examine the electoral effects of aggregate legislative behavior. While useful for identifying macro-level relationships, this approach discards valuable information about the timing of elite partisanship that contributes to a more nuanced understanding of the interplay between legislative behavior and election outcomes. After all, studies find that recent elite behavior tends to factor more prominently in voters’ decision calculus. We offer a model that more explicitly accounts for the timing of elite partisanship, and we test it using US House elections data from 1956 to 2004. Even when accounting for aggregate party voting, we find that electoral success is significantly dependent on the temporal patterns of members’ party loyalty as elections approach. We attribute this, in part, to voters paying disproportionate attention to legislative activity around elections. © The Author(s) 2019.",time-dependent legislative behavior and election outcomes,2019,Party Politics,"Rowlands, L.M., Vander Wielen, R.J.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",31
"This research utilizes the 2010 Environmental Performance Index to examine how electoral rules affect environmental performance in 20 Latin American democracies. Using supporting time-series analysis with dependent variables for habitat protection, particulate matter, and carbon dioxide emissions from 2000 to 2008, our study finds that proportionality and party systems influence environmental performance in the region. Results show that representation impacts ecosystem vitality more so than public health. We account for this gap by arguing that levels of political representation influence the allocation of public and private goods which, in turn, help determine environmental outcomes. Our findings do not always paint a consistent picture, which may be attributed to the difficulties of operationalizing complex concepts such as environmental performance within and across countries and examining how these relationships change over time. Additional research is warranted to tease out these relationships. © The Author(s) 2019.",a political–institutional explanation of environmental performance in latin america,2019,International Area Studies Review,"Rey, D., Ozymy, J.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",32
"Can elections serve as a vector of good public policy in fledgeling democracies where electorally persistent elites circumvent institutional safeguards? Examining legislative productivity for each member of the Philippine House of Representatives from 1992 to 2016, we argue that while electoral persistence can be short-run welfare enhancing by inducing legislative attention on particularistic policies, it is ultimately electoral competition and the prospect of ouster that determine overall legislative behaviour. Using various measures of electoral competition, our panel estimates suggest that district incumbents who faced competitive elections, regardless of political pedigree, are more likely to work for the passage of their legislative proposals into legislation. The results lend credence to the disciplining effect of elections, even in precarious political settings where competition is between equally persistent political elites. Overall, incumbents who fought competitive elections are generally more likely to produce laws as a legislative preoccupation–a commitment they are likely to pursue even in the presence of institutional and political uncertainties. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.","electoral persistence and the quality of public policies: evidence from the dynamics of lawmaking in the philippine house of representatives, 1992-2016",2019,Journal of Asian Public Policy,"Panao, R.A.L.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",33
"The purpose of this paper is to present and assess the literature about the determinants of public spending. Its originality is the adoption of a methodological perspective. Does econometrics allow economists to discover universal constants for public spending or is it only another way of writing the history of public finance? The economic theory of the size of government includes 23 explanations and 78 explanatory variables. The size of government reflects the preferences of citizens (demand model), the power of politicians and bureaucrats to impose their interests against citizens’ interests (supply model) and the constitutional design that governments face in raising revenue. Nonetheless, the great instability of econometric tests shows, all the difficulties of the science of public finance in finding a constant and discovering real causality between these variables. The analytical consequence of this result is the great futility of the search for a general law of the dynamic of public spending. This futility can be interpreted as a consequence of the complexity of political exchange. The size of the state is a multi-causal phenomenon. The prescriptive consequence is that it is not possible to use quantitative analysis to defend a form of “causal manipulationism” and predict the timing of state reforms and a political strategy to reduce the share of public spending in production. Econometrics is only one way of reporting the history of public finances. © 2019, International Atlantic Economic Society.",what are the determinants of public spending? an overview of the literature,2018,Atlantic Economic Journal,"Facchini, F.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",34
